RA,CÓDIGO TURMA,TURMA
11082609,NBESTA016-17SA,Máquinas Elétricas B-Noturno (Santo André)
11055507,NAMCTA008-17SA,Computação Gráfica A-Noturno (Santo André)
11055507,NAMCTA014-15SA,Inteligência Artificial A-Noturno (Santo André)
11085216,NA2BIR0004-15SA,Bases Epistemológicas da Ciência Moderna A2-Noturno (Santo André)
11085216,DABIR0603-15SA,"Ciência, Tecnologia e Sociedade A-Matutino (Santo André)"
11085216,DS7BCJ0204-15SA,Fenômenos Mecânicos S7-Matutino (Santo André)
11085216,NBBIN0406-15SA,Introdução à Probabilidade e à Estatística B-Noturno (Santo André)
11035614,NCESTO902-17SA,Engenharia Unificada I C-Noturno (Santo André)
11035614,NA1BCN0402-15SA,Funções de Uma Variável A1-Noturno (Santo André)
11035614,NAESTA023-17SA,Introdução aos Processos de Fabricação A-Noturno (Santo André)
11035614,NA1ESTA014-17SA,Sistemas CAD/CAM A1-Noturno (Santo André)
11107810,NB1ESTA004-17SA,Circuitos Elétricos II B1-Noturno (Santo André)
11107810,NAESTE017-17SA,Operação de Sistemas Elétricos de Potência A-Noturno (Santo André)
11201722779,DB2BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B2-Matutino (Santo André)
11201722779,DB4BCJ0204-15SA,Fenômenos Mecânicos B4-Matutino (Santo André)
11201722779,DB1BCN0402-15SA,Funções de Uma Variável B1-Matutino (Santo André)
11201722779,DB3BCN0404-15SA,Geometria Analítica B3-Matutino (Santo André)
11087216,NA1BIR0004-15SA,Bases Epistemológicas da Ciência Moderna A1-Noturno (Santo André)
11087216,NB1BCJ0204-15SA,Fenômenos Mecânicos B1-Noturno (Santo André)
11087216,NB1BCN0402-15SA,Funções de Uma Variável B1-Noturno (Santo André)
11087216,DAMCTC002-15SA,Introdução à Neurociência A-Matutino (Santo André)
11201722856,DA2BCL0306-15SB,Biodiversidade: Interações entre organismos e ambiente A2-Matutino (São Bernardo)
11201722856,DABIR0603-15SB,"Ciência, Tecnologia e Sociedade A-Matutino (São Bernardo)"
11201722856,DA1BCM0504-15SB,Natureza da Informação A1-Matutino (São Bernardo)
11066213,NAESZE109-17SA,Impactos Econômicos e Socioambientais da Geração Fotovoltaica A-Noturno (Santo André)
11066213,NAESTE027-17SA,Laboratório de Calor e Fluidos A-Noturno (Santo André)
